Label	Sides	Color	Size
Datacenter of ASP-1	4	green	1.5350567286626973
Datacenter of ASP-2	4	green	1.5350567286626973
Datacenter of ASP-3	4	green	1.5350567286626973
Datacenter of ASP-4	4	green	1.5350567286626973
Datacenter of ASP-5	4	green	1.5350567286626973
Datacenter of ASP-6	4	green	1.5350567286626973
Backbone of simternet.nsp.DumbNetworkServiceProvider-NSP-1	5	blue	4.612643600578783
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[0,0]	3	red	3.289390032969599
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[0,1]	3	red	3.2733352849380872
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[0,2]	3	red	3.3079740324098412
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[0,3]	3	red	3.2649374675678593
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[0,4]	3	red	3.278803424013502
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[0,5]	3	red	3.3471470088190762
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[0,6]	3	red	3.2308210364424395
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[1,0]	3	red	3.302998002271945
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[1,1]	3	red	3.3442533157680656
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[1,2]	3	red	3.266903682924276
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[1,3]	3	red	3.3406470892105293
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[1,4]	3	red	3.316214840156953
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[1,5]	3	red	3.323631189677409
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[1,6]	3	red	3.3404551034586496
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[2,0]	3	red	3.359821222049648
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[2,1]	3	red	3.323931980905099
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[2,2]	3	red	3.3235823289801716
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[2,3]	3	red	3.3299038166498094
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[2,4]	3	red	3.34302926637485
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[2,5]	3	red	3.304078732256238
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[2,6]	3	red	3.2603777926182786
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[3,0]	3	red	3.2922993115500994
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[3,1]	3	red	3.304477087624132
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[3,2]	3	red	3.3600920288928537
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[3,3]	3	red	3.325004761871823
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[3,4]	3	red	3.3366737133776923
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[3,5]	3	red	3.309216869994849
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[3,6]	3	red	3.324326706952688
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[4,0]	3	red	3.2967434159045603
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[4,1]	3	red	3.2765407242802493
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[4,2]	3	red	3.3106130420275464
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[4,3]	3	red	3.3399826420638075
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[4,4]	3	red	3.3028814408025937
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[4,5]	3	red	3.2739038890613785
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[4,6]	3	red	3.284976561635761
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[5,0]	3	red	3.3213132958199485
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[5,1]	3	red	3.317751511148714
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[5,2]	3	red	3.3094727220509164
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[5,3]	3	red	3.3186006895956095
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[5,4]	3	red	3.327703426378694
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[5,5]	3	red	3.3498785663366237
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[5,6]	3	red	3.32386155664457
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[6,0]	3	red	3.3292591162954963
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[6,1]	3	red	3.3307300785853946
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[6,2]	3	red	3.2961038756522947
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[6,3]	3	red	3.322297054251004
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[6,4]	3	red	3.3755805874404676
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[6,5]	3	red	3.33019974895719
Edge of simternet.nsp.DumbNetworkServiceProvider-NSP-1 @Int2D[6,6]	3	red	3.3307014973296245
